timestamp,open,high,low,close,volume,symbol
2026-01-02 09:30:00,100.0000,100.1700,99.8200,100.0200,150000,SPY
2026-01-02 09:35:00,100.0200,100.2115,99.8405,100.0534,163588,SPY
2026-01-02 09:40:00,100.0534,100.2656,99.8755,100.0999,175735,SPY
2026-01-02 09:45:00,100.0999,100.3316,99.9246,100.1588,185159,SPY
2026-01-02 09:50:00,100.1588,100.4085,99.9870,100.2294,190878,SPY
2026-01-02 09:55:00,100.2294,100.4699,100.0621,100.2857,192316,SPY
2026-01-02 10:00:00,100.2857,100.5399,100.1237,100.3519,189372,SPY
2026-01-02 10:05:00,100.3519,100.6170,100.1957,100.4268,182423,SPY
2026-01-02 10:10:00,100.4268,100.7001,100.2768,100.5092,172291,SPY
2026-01-02 10:15:00,100.5092,100.7878,100.3656,100.5977,160145,SPY
2026-01-02 10:20:00,100.5977,100.8535,100.4530,100.6659,162623,SPY
2026-01-02 10:25:00,100.6659,100.9213,100.5145,100.7376,175551,SPY
2026-01-02 10:30:00,100.7376,100.9898,100.5798,100.8114,186272,SPY
2026-01-02 10:35:00,100.8114,101.0580,100.6476,100.8859,187161,SPY
2026-01-02 10:40:00,100.8859,101.1249,100.7168,100.9599,190458,SPY
2026-01-02 10:45:00,100.9599,101.1642,100.7862,101.0070,189357,SPY
2026-01-02 10:50:00,101.0070,101.2052,100.8297,101.0512,184033,SPY
2026-01-02 10:55:00,101.0512,101.2536,100.8712,101.0917,175128,SPY
2026-01-02 11:00:00,101.0917,101.2971,100.9101,101.1275,163677,SPY
2026-01-02 11:05:00,101.1275,101.3345,100.9454,101.1580,155005,SPY
2026-01-02 11:10:00,101.1580,101.3404,100.9761,101.1575,168466,SPY
2026-01-02 11:15:00,101.1575,101.3445,100.9714,101.1509,180279,SPY
2026-01-02 11:20:00,101.1509,101.3411,100.9616,101.1382,189200,SPY
2026-01-02 11:25:00,101.1382,101.3301,100.9468,101.1195,194300,SPY
2026-01-02 11:30:00,101.1195,101.3114,100.9270,101.0950,195074,SPY
2026-01-02 11:35:00,101.0950,101.2854,100.8776,101.0400,191492,SPY
2026-01-02 11:40:00,101.0400,101.2273,100.8242,100.9805,177502,SPY
2026-01-02 11:45:00,100.9805,101.1632,100.7676,100.9174,166985,SPY
2026-01-02 11:50:00,100.9174,101.0942,100.7085,100.8515,154653,SPY
2026-01-02 11:55:00,100.8515,101.0216,100.6382,100.7842,161081,SPY
2026-01-02 12:00:00,100.7842,100.9466,100.5390,100.6914,173761,SPY
2026-01-02 12:05:00,100.6914,100.8458,100.4412,100.5997,184045,SPY
2026-01-02 12:10:00,100.5997,100.7553,100.3465,100.5106,190856,SPY
2026-01-02 12:15:00,100.5106,100.6739,100.2564,100.4255,193500,SPY
2026-01-02 12:20:00,100.4255,100.5959,100.1725,100.3458,191740,SPY
2026-01-02 12:25:00,100.3458,100.5227,100.0715,100.2479,185826,SPY
2026-01-02 12:30:00,100.2479,100.4301,99.9798,100.1584,176463,SPY
2026-01-02 12:35:00,100.1584,100.3447,99.8988,100.0786,164737,SPY
2026-01-02 12:40:00,100.0786,100.2675,99.8298,100.0098,160005,SPY
2026-01-02 12:45:00,100.0098,100.1998,99.7740,99.9530,166807,SPY
2026-01-02 12:50:00,99.9530,100.1425,99.7074,99.8843,178258,SPY
2026-01-02 12:55:00,99.8843,100.0717,99.6558,99.8296,186654,SPY
2026-01-02 13:00:00,99.8296,100.0135,99.6197,99.7895,191124,SPY
2026-01-02 13:05:00,99.7895,99.9685,99.5996,99.7646,191233,SPY
2026-01-02 13:10:00,99.7646,99.9376,99.5956,99.7551,187022,SPY
2026-01-02 13:15:00,99.7551,99.9212,99.5829,99.7364,179012,SPY
2026-01-02 13:20:00,99.7364,99.8949,99.5862,99.7333,168137,SPY
2026-01-02 13:25:00,99.7333,99.8962,99.5928,99.7456,155651,SPY
2026-01-02 13:30:00,99.7456,99.9294,99.6001,99.7728,166016,SPY
2026-01-02 13:35:00,99.7728,99.9788,99.6209,99.8145,178416,SPY
2026-01-02 13:40:00,99.8145,100.0164,99.6563,99.8449,188238,SPY
2026-01-02 13:45:00,99.8449,100.0659,99.6811,99.8881,194456,SPY
2026-01-02 13:50:00,99.8881,100.1262,99.7193,99.9432,189940,SPY
2026-01-02 13:55:00,99.9432,100.1958,99.7701,100.0089,187528,SPY
2026-01-02 14:00:00,100.0089,100.2736,99.8325,100.0842,181039,SPY
2026-01-02 14:05:00,100.0842,100.3330,99.9054,100.1428,171244,SPY
2026-01-02 14:10:00,100.1428,100.3979,99.9627,100.2083,159275,SPY
2026-01-02 14:15:00,100.2083,100.4668,100.0280,100.2795,158495,SPY
2026-01-02 14:20:00,100.2795,100.5387,100.1002,100.3552,171605,SPY
2026-01-02 14:25:00,100.3552,100.6125,100.1779,100.4340,182667,SPY
2026-01-02 14:30:00,100.4340,100.6620,100.2597,100.4897,190518,SPY
2026-01-02 14:35:00,100.4897,100.7116,100.3194,100.5463,194349,SPY
2026-01-02 14:40:00,100.5463,100.7604,100.3809,100.6029,193793,SPY
2026-01-02 14:45:00,100.6029,100.8107,100.4429,100.6584,188966,SPY
2026-01-02 14:50:00,100.6584,100.8727,100.5045,100.7123,180456,SPY
2026-01-02 14:55:00,100.7123,100.9067,100.5648,100.7387,162753,SPY
2026-01-02 15:00:00,100.7387,100.9374,100.5975,100.7624,150854,SPY
2026-01-02 15:05:00,100.7624,100.9643,100.6145,100.7833,164422,SPY
2026-01-02 15:10:00,100.7833,100.9870,100.6288,100.8011,176512,SPY
2026-01-02 15:15:00,100.8011,101.0054,100.6405,100.8161,185849,SPY
2026-01-02 15:20:00,100.8161,101.0073,100.6371,100.8033,191459,SPY
2026-01-02 15:25:00,100.8033,100.9947,100.6172,100.7882,192781,SPY
2026-01-02 15:30:00,100.7882,100.9783,100.5965,100.7716,189723,SPY
2026-01-02 15:35:00,100.7716,100.9588,100.5758,100.7540,182678,SPY
2026-01-02 15:40:00,100.7540,100.9369,100.5560,100.7362,172475,SPY
2026-01-02 15:45:00,100.7362,100.9135,100.5129,100.6941,160294,SPY
2026-01-02 15:50:00,100.6941,100.8647,100.4727,100.6537,163470,SPY
2026-01-02 15:55:00,100.6537,100.8169,100.4364,100.6161,176357,SPY
2026-01-02 16:00:00,100.6161,100.7713,100.4049,100.5823,180502,SPY
2026-01-02 16:05:00,100.5823,100.7368,100.3793,100.5533,187790,SPY
2026-01-02 16:10:00,100.5533,100.7157,100.3354,100.5050,190973,SPY
2026-01-02 16:15:00,100.5050,100.6748,100.2991,100.4636,189755,SPY
2026-01-02 16:20:00,100.4636,100.6400,100.2712,100.4300,184326,SPY
2026-01-02 16:25:00,100.4300,100.6119,100.2523,100.4049,175338,SPY
2026-01-02 16:30:00,100.4049,100.5912,100.2431,100.3891,163836,SPY
2026-01-02 16:35:00,100.3891,100.5783,100.2164,100.3581,155859,SPY
2026-01-02 16:40:00,100.3581,100.5487,100.1892,100.3375,169294,SPY
2026-01-02 16:45:00,100.3375,100.5279,100.1729,100.3276,181045,SPY
2026-01-02 16:50:00,100.3276,100.5171,100.1669,100.3285,189875,SPY
2026-01-02 16:55:00,100.3285,100.5257,100.1623,100.3404,194865,SPY
2026-01-02 17:00:00,100.3404,100.5210,100.1669,100.3379,195521,SPY
2026-01-02 17:05:00,100.3379,100.5207,100.1630,100.3459,185327,SPY
2026-01-02 17:10:00,100.3459,100.5321,100.1681,100.3641,177744,SPY
2026-01-02 17:15:00,100.3641,100.5523,100.1843,100.3918,167162,SPY
2026-01-02 17:20:00,100.3918,100.5810,100.2111,100.4283,154800,SPY
2026-01-02 17:25:00,100.4283,100.6046,100.2479,100.4479,161925,SPY
2026-01-02 17:30:00,100.4479,100.6393,100.2688,100.4747,174557,SPY
2026-01-02 17:35:00,100.4747,100.6797,100.2980,100.5079,184761,SPY
2026-01-02 17:40:00,100.5079,100.7247,100.3346,100.5465,191469,SPY
